shipment_id,origin,destination,cargo_type,weather,port_congestion_level,distance_km,gate_in_wait_hrs,actual_duration_hrs,planned_duration_hrs,total_cost_try
SHP-00000,Izmir,Kocaeli,Cold_Chain,Clear,10,239,8.815678429955776,12.22996414424149,5.414285714285715,12461.75
SHP-00001,Mersin,Izmir,Dry,Stormy,7,400,6.1709749009690436,16.170974900969043,7.714285714285714,11802.17
SHP-00002,Kocaeli,Ambarli,Dry,Clear,2,436,1.7631356859911553,7.991707114562584,8.228571428571428,10244.92
SHP-00007,Ambarli,Iskenderun,Hazardous,Clear,1,618,0.8815678429955777,9.710139271567007,10.82857142857143,20896.74
SHP-00008,Iskenderun,Mersin,Hazardous,Clear,7,766,6.1709749009690436,17.113832043826186,12.942857142857143,26228.42
SHP-00009,Kocaeli,Ambarli,Hazardous,Clear,3,418,2.644703528986733,8.616132100415305,7.9714285714285715,16204.22
SHP-00010,Mersin,Iskenderun,Dry,Rainy,9,838,7.934110586960199,23.170474223323836,13.971428571428572,18763.62
SHP-00012,Mersin,Ambarli,Oversized,Clear,4,158,3.5262713719823107,5.783414229125167,4.257142857142857,12651.66
SHP-00013,Mersin,Kocaeli,Dry,Clear,6,561,5.289407057973466,13.30369277225918,10.014285714285714,13001.02
SHP-00014,Mersin,Ambarli,Hazardous,Clear,3,224,2.644703528986733,5.844703528986733,5.2,11402.33
SHP-00015,Ambarli,Kocaeli,Dry,Clear,1,425,0.8815678429955777,6.952996414424149,8.071428571428571,10074.75
SHP-00017,Kocaeli,Ambarli,Dry,Clear,7,428,6.1709749009690436,12.285260615254757,8.114285714285714,11163.9
SHP-00018,Mersin,Iskenderun,Dry,Clear,1,781,0.8815678429955777,12.038710700138434,13.157142857142857,15582.07
SHP-00019,Kocaeli,Mersin,Dry,Clear,10,605,8.815678429955776,17.45853557281292,10.642857142857142,14563.27
SHP-00020,Kocaeli,Mersin,Oversized,Clear,8,606,7.052542743964621,15.709685601107477,10.657142857142857,28275.91
SHP-00022,Iskenderun,Izmir,Dry,Rainy,1,431,0.8815678429955777,8.717931479359214,8.157142857142858,10307.77
SHP-00023,Ambarli,Kocaeli,Hazardous,Clear,3,450,2.644703528986733,9.073274957558162,8.428571428571429,16996.28
SHP-00024,Mersin,Kocaeli,Dry,Clear,8,592,7.052542743964621,15.509685601107478,10.457142857142857,13921.38
SHP-00025,Mersin,Iskenderun,Oversized,Clear,6,830,5.289407057973466,17.146549915116324,13.857142857142858,34324.9
SHP-00026,Mersin,Izmir,Cold_Chain,Clear,7,390,6.1709749009690436,11.742403472397616,7.571428571428571,14806.46
SHP-00028,Ambarli,Iskenderun,Dry,Rainy,5,600,4.407839214977888,15.316930124068797,10.571428571428571,13968.38
SHP-00032,Mersin,Kocaeli,Dry,Clear,2,591,1.7631356859911553,10.205992828848299,10.442857142857143,12642.77
SHP-00033,Kocaeli,Izmir,Cold_Chain,Rainy,2,166,1.7631356859911553,4.781317504172973,4.371428571428572,8638.69
SHP-00034,Mersin,Ambarli,Hazardous,Stormy,7,185,6.1709749009690436,10.795974900969043,4.642857142857142,12640.37
